iso_a3,mean_gap,sem_gap,pixel_count,physical_area_km2
CIV,0.4066227674484253,0.003440052969381213,10632.0,261718.59375
HRV,0.1743967980146408,0.0033590623643249273,2105.0,51816.9375
CUB,0.1687680035829544,0.0020641835872083902,3926.0,96642.890625
CAF,0.08049232512712479,0.0021107711363583803,4211.0,103658.484375
TCD,0.02925916574895382,0.0005474115023389459,18349.0,451681.25
CHL,0.051653821021318436,0.0009527308866381645,10652.0,262210.9375
CHN,0.1905384510755539,0.0004226984456181526,249788.0,6148811.5
CYP,0.06868993490934372,0.005902368109673262,337.0,8295.6328125
CZE,0.2162349373102188,0.002045203698799014,3163.0,77860.796875
DNK,0.21261851489543915,0.0023304270580410957,1644.0,40468.90625
DJI,4.277681853182003e-08,4.2653727660990626e-08,174.0,4283.20556640625
DMA,0.0049614678137004375,0.0016942160436883569,8.0,196.92897033691406
DOM,0.16782696545124054,0.004162059165537357,1811.0,44579.796875
ECU,0.14530394971370697,0.0023939574602991343,5635.0,138711.84375
EGY,0.0028697948437184095,0.00035330335958860815,3857.0,94944.3828125
SLV,0.008522757329046726,0.0008173948153853416,706.0,17378.982421875
GNQ,0.18395602703094482,0.009097111411392689,577.0,14203.501953125
ERI,0.00014952469791751355,3.9122245652833953e-05,2853.0,70229.796875
EST,0.09509265422821045,0.0022832767572253942,1650.0,40616.6015625
ETH,0.0738312155008316,0.000744110147934407,26966.0,663798.375
FJI,0.2437564879655838,0.012184773571789265,451.0,11101.87109375
FIN,0.06343204528093338,0.0011372844455763698,6863.0,168940.4375
GAB,0.14932750165462494,0.00320498738437891,3416.0,84088.6640625
GMB,0.0,0.0,413.0,10166.458984375
MAR,0.13823570311069489,0.0017124684527516365,10118.0,249065.90625
MOZ,0.1450072079896927,0.0014300887705758214,18626.0,458499.875
NAM,0.23821468651294708,0.002247169613838196,14061.0,346127.3125
GEO,0.14045339822769165,0.0028034020215272903,2605.0,64124.99609375
DEU,0.23802345991134644,0.0010000452166423202,14317.0,352429.0
GHA,0.3834918737411499,0.004178194794803858,8328.0,205003.0625
GRC,0.14772695302963257,0.002130319131538272,4954.0,121948.2578125
GRL,,,,
GRD,0.03797074779868126,0.013394285924732685,9.0,221.5450897216797
NRU,0.5886104106903076,0.0,1.0,24.616121292114258
GTM,0.06728189438581467,0.0016828319057822227,3698.0,91030.421875
NPL,0.15539537370204926,0.0021122314501553774,5480.0,134896.34375
GIN,0.2491353303194046,0.003414469538256526,7219.0,177703.78125
GNB,0.13659147918224335,0.005231156945228577,1049.0,25822.3125
GUY,0.06448753923177719,0.003109796205535531,1170.0,28800.861328125
HTI,0.44220104813575745,0.008626673370599747,1046.0,25748.462890625
JOR,0.10018980503082275,0.006808349397033453,642.0,15803.548828125
HND,0.06348643451929092,0.0016709440387785435,3819.0,94008.96875
HUN,0.264044851064682,0.0022182834800332785,3743.0,92138.1484375
ISL,0.006448721047490835,0.0011369126150384545,1297.0,31927.109375
IDN,0.2522331476211548,0.0010843417840078473,51388.0,1264973.25
IRN,0.13068069517612457,0.0008969646296463907,32641.0,803494.875
IRQ,0.10027029365301132,0.002026977250352502,7283.0,179279.21875
IRL,0.2732260227203369,0.002718505449593067,2726.0,67103.546875
KAZ,0.16699755191802979,0.000873799726832658,63887.0,1572650.0
KEN,0.19155685603618622,0.0018890044884756207,13548.0,333499.1875
KIR,0.021781153976917267,0.020988844335079193,14.0,344.6257019042969
PRK,0.2467583864927292,0.003093723440542817,3388.0,83399.421875
KOR,0.3164306581020355,0.00342337298206985,3573.0,87953.40625
XKX,0.13018718361854553,0.0062074922025203705,437.0,10757.2451171875
SRB,0.1700252741575241,0.0026321671903133392,3069.0,75546.8828125
SYC,0.5683440566062927,0.060661543160676956,5.0,123.08060455322266
SLE,0.6315353512763977,0.005890310276299715,2900.0,71386.75
SGP,0.2967882454395294,0.04468892142176628,19.0,467.706298828125
ITA,0.15023870766162872,0.0012181439669802785,11895.0,292808.75
JAM,0.10131893306970596,0.0086520342156291,378.0,9304.89453125
JPN,0.2113785296678543,0.0018735533813014627,10270.0,252807.5625
KGZ,0.11837488412857056,0.0020075375214219093,6553.0,161309.4375
